Start Time,2023-12-15 10:45:45.369
Scope Points,402
Scope Interval(ms),10
SineOut,SineOut2,StepOut
3.09019265716544,-9.51055368282511,10
2.89034100179113,-9.57318418651695,10
2.68922154946841,-9.63161558232132,10
2.48692251768713,-9.68582224034011,10
2.28353264133876,-9.73578038378175,10
2.07914113379446,-9.78146809939042,10
1.87383764777319,-9.8228653470579,10
1.66771223601715,-9.85995396861385,10
1.46085531179171,-9.89271769579055,10
1.25335760922725,-9.92114215735868,10
1.04531014352021,-9.94521488543102,10
0.836804171010965,-9.96492532093127,10
0.627931149155704,-9.98026481822558,10
0.418782696410387,-9.99122664891483,10
0.209450552043826,-9.99780600478592,10
2.65358979290864E-05,-9.99999999992078,10
-0.209397491887465,-9.99780767196226,-10
-0.418729671167423,-9.99122998253624,-10
-0.627878182084722,-9.98026981682982,-10
-0.836751285345037,-9.96493198232578,-10
-1.04525736245672,-9.94522320669391,-10
-1.25330495591764,-9.92115213483997,-10
-1.46080280933144,-9.8927293251138,-10
-1.66765990743549,-9.85996724467807,-10
-1.87378551602315,-9.82288026403977,-10
-2.07908922174271,-9.78148465074687,-10
-2.2834809717556,-9.73579856225282,-10
-2.48687111323652,-9.68584203795213,-10
-2.689170432698,-9.63163699039042,-10
-2.89029019512238,-9.57320719565287,-10
-3.0901421828838,-9.51057828293529,-10
-3.28863873444335,-9.4437777233023,-10
-3.48569278280022,-9.37283481763762,-10
-3.68121789368212,-9.29778068379181,-10
-3.87512830345813,-9.21864824293291,-10
-4.06733895675738,-9.13547220510621,-10
-4.25776554377717,-9.04828905400926,-10
-4.44632453726385,-8.95713703098897,-10
-4.63293322915067,-8.86205611826768,-10
-4.81750976683617,-8.76308802140572,-10
-4.99997318908736,-8.66027615100797,-10
-5.18024346155198,-8.55366560368257,-10
-5.3582415118641,-8.44330314226009,-10
-5.53388926432787,-8.32923717528185,-10
-5.70710967416399,-8.21151773576636,-10
-5.87782676130406,-8.09019645926324,-10
-6.04596564371792,-7.96532656120417,-10
-6.21145257025926,-7.83696281356089,-10
-6.37421495301536,-7.70516152082048,-10
-6.53418139914637,-7.56998049528834,-10
-6.69128174220062,-7.43147903172989,-10
-6.84544707289183,-7.28971788136192,-10
-6.99660976932498,-7.14475922520522,-10
-7.14470352665746,-6.99666664680985,-10
-7.28966338618248,-6.84550510436551,-10
-7.4314257638221,-6.69134090220864,-10
-7.56992847801722,-6.53424166173924,-10
-7.70511077700249,-6.37427629175995,-10
-7.83691336545391,-6.21151495825044,-10
-7.96527843049773,-6.04602905359027,-10
-8.09014966706904,-5.87789116524398,-10
-8.21147230260896,-5.70717504392183,-10
-8.32919312108969,-5.53395557123034,-10
-8.44326048635677,-5.35830872682685,-10
-8.55362436477835,-5.18031155509233,-10
-8.66023634719156,-5.00004213133731,-10
-8.76304967013636,-4.81757952755544,-10
-8.86201923636748,-4.63300377773992,-10
-8.95710163463552,-4.44639584277822,-10
-9.04825515872855,-4.25783757493972,-10
-9.1354398257658,-4.06741168197294,-10
-9.21861739373543,-3.87520169082705,-10
-9.2977513782687,-3.68129191101436,-10
-9.37280706864325,-3.48576739762937,-10
-9.44375154300826,-3.28871391404094,-10
-9.51055368282512,-3.09021789427363,-10
-9.57318418651696,-2.89036640509498,-10
-9.63161558232132,-2.68924710782522,-10
-9.68582224034011,-2.48694821988617,-10
-9.73578038378175,-2.28355847610622,-10
-9.78146809939042,-2.07916708979837,-10
-9.8228653470579,-1.87386371362842,-10
-9.85995396861385,-1.66773840029038,-10
-9.89271769579055,-1.46088156300641,-10
-9.92114215735868,-1.25338393586881,-10
-9.94521488543102,-1.04533653404093,-10
